module	C3002C4_MGX	C3013C2_MGX	M2008C11_MGX	M2075C4_MGX	M2077C1_MGX	P6009C1_MGX	IBDMDB_CD_MSM6J2IY	IBDMDB_CD_PSM7J199	IBDMDB_UC_PSMA267J	G48777_CD	G48780_CD	G48783_Control	G48784_UC	G48787_Control	G48789_Control	G48790_Control	G48791_UC	G48792_Control	G48793_Control	G48794_UC	G48795_CD	G48796_CD	G48798_Control	G48799_UC	G48802_UC	G48804_CD	G48805_CD	G48806_CD	G48807_CD	G48808_Control	G48810_CD	G48812_UC	G48814_UC	G48815_CD	G48817_CD	G48819_CD	G48820_CD	G48821_UC	G48822_UC	G48823_CD	G48826_Control	G48827_CD	G48831_Control	G48832_UC	G48836_UC	G48838_CD	G48839_CD	G48841_CD	G48842_CD	G83831_Control	AST0002	AST0003	AST0005	AST0008	AST0009	AST0011	AST0013	AST0015	AST0017	AST0018	AST0019	AST0022	AST0023	AST0024	AST0025	AST0026	AST0029	AST0030	AST0031	AST0032	AST0033	AST0034	AST0035	AST0037	AST0038	AST0040	AST0042	AST0044	AST0045	AST0049	AST0050	AST0051	AST0055	AST0056	AST0057	AST0058	AST0060	AST0061	AST0064	AST0066	AST0067	AST0068	AST0069	AST0070	AST0071	AST0072	AST0073	AST0074	AST0075	AST0076	AST0077	AST0078	AST0081	AST0083	AST0086	AST0090	AST0091	AST0092	AST0093	AST0095	AST0098	AST0100	AST0104	AST0105	AST0107	AST0109	AST0112	AST0113	AST0114	AST0115	AST0117	AST0118	AST0119	AST0120	AST0121	AST0122	AST0124	AST0126	AST0127	AST0128	AST0130	AST0131	AST0132	AST0133	AST0134	AST0135	AST0136	AST0139	AST0140	AST0141	AST0145	AST0148	AST0149	AST0153	AUS0002	AUS0004	AUS0014	AUS0016	AUS0018	AUS0020	AUS0022	AUS0024	CAN0001	CAN0002	CAN0003	CAN0004	CAN0005	CAN0006	CAN0007	CAN0009	CAN0010	CAN0011	CAN0012	CAN0013	CAN0014	CAN0015	CAN0016	CAN0017	CAN0018	CAN0019	CAN0020	CAN0021	CAN0022	CAN0023	CHI0106	CHI0111	CHI0116	CHI0132	CHI0133	CHI0138	CHI0140	CHI0141	CHI0143	CHI0145	CHI0154	CHI0162	CHI0164	CHI0165	CHI0167	CHI0168	CHI0182	DEN0001	DEN0003	DEN0005	DEN0007	DEN0010	DEN0011	DEN0012	DEN0017	DEN0018	DEN0021	DEN0022	DEN0026	DEN0028	DEN0029	DEN0031	DEN0033	DEN0035	DEN0039	DEN0041	DEN0045	DEN0046	DEN0051	DEN0052	DEN0053	DEN0061	DEN0062	DEN0063	DEN0064	DEN0065	DEN0066	DEN0067	DEN0069	DEN0070	DEN0071	DEN0072	DEN0073	DEN0078	DEN0079	DEN0082	DEN0083	DEN0085	DEN0087	DEN0090	DEN0092	DEN0093	DEN0094	DEN0096	DEN0099	DEN0100	DEN0101	DEN0107	DEN0108	DEN0109	DEN0111	DEN0114	DEN0118	DEN0120	DEN0121	DEN0122	DEN0127	DEN0131	DEN0132	DEN0133	DEN0134	DEN0136	DEN0138	DEN0139	DEN0143	DEN0144	DEN0145	DEN0146	DEN0149	DEN0151	DEN0152	DEN0153	DEN0154	DEN0156	DEN0158	DEN0159	DEN0160	DEN0161	DEN0162	DEN0164	DEN0165	DEN0168	DEN0169	DEN0173	DEN0174	DEN0175	DEN0178	DEN0179	DEN0180	DEN0181	DEN0184	DEN0185	DEN0188	DEN0192	DEN0194	DEN0195	DEN0199	DEN0200	DEN0202	DEN0203	DEN0205	DEN0212	DEN0213	DEN0214	DEN0215	DEN0216	DEN0219	DEN0221	DEN0225	DEN0226	DEN0228	DEN0229	DEN0230	DEN0231	DEN0233	DEN0236	DEN0237	DEN0238	DEN0239	DEN0240	DEN0241	DEN0244	DEN0245	DEN0246	DEN0250	DEN0251	DEN0252	DEN0253	DEN0254	DEN0257	DEN0259	DEN0260	DEN0261	DEN0263	DEN0264	DEN0266	DEN0268	DEN0270	DEN0272	DEN0274	DEN0276	DEN0278	DEN0281	DEN0283	DEN0287	DEN0288	DEN0289	DEN0290	ENG0006	ENG0103	n_209_V6_M_229_non_pouchitis_2	n_209_V7_M_348_non_pouchitis_3	n_210_V10_M_720_non_pouchitis_7	n_210_V5_M_117_non_pouchitis_4	n_210_V6_M_265_non_pouchitis_5	n_210_V7_M_368_non_pouchitis_6	n_211_V10_M_714_non_pouchitis_4	n_211_V5_M_117_non_pouchitis_1	n_211_V6_M_229_non_pouchitis_2	n_211_V7_M_369_non_pouchitis_3	n_212_V10_M_720_non_pouchitis_4	n_212_V5_M_120_non_pouchitis_1	n_212_V6_M_239_non_pouchitis_2	n_212_V7_M_359_non_pouchitis_3	n_213_V10_M_722_non_pouchitis_4	n_213_V5_M_126_non_pouchitis_1	n_213_V6_M_231_non_pouchitis_2	n_213_V7_M_359_non_pouchitis_3	n_216_V10_M_721_non_pouchitis_4	n_216_V6_M_233_non_pouchitis_2	n_217_V10_M_720_non_pouchitis_4	n_217_V6_M_235_non_pouchitis_2	n_423_V6_M_232_non_pouchitis_2	n_423_V7_M_355_non_pouchitis_3	n_427_V6_M_234_non_pouchitis_2	n_503_V5_M_126_non_pouchitis_1	n_503_V6_M_271_non_pouchitis_2	n_503_V7_M_412_non_pouchitis_3	p_200_V10_M_731_without_inflamation_5	p_200_V12_M_282_inflamation_1	p_202_V10_M_743_without_inflamation_6	p_202_V11_M_301_inflamation_3	p_202_V12_M_329_antibiotic_4	p_202_V6_M_238_without_inflamation_2	p_204_V10_M_785_without_inflamation_6	p_204_V12_M_462_antibiotic_4	p_204_V5_M_187_without_inflamation_1	p_204_V6_M_308_without_inflamation_2	p_206_V11_M_482_inflamation_5	p_206_V5_M_118_without_inflamation_1	p_206_V6_M_237_without_inflamation_2	p_206_V7_M_363_without_inflamation_3	p_207_V10_M_719_inflamation_7	p_207_V5_M_124_without_inflamation_1	p_207_V6_M_236_without_inflamation_2	p_207_V7_M_355_without_inflamation_3	p_207_V8_M_482_inflamation_4	p_207_V9_M_601_without_inflamation_6	p_208_V12_M_651_antibiotic_6	p_208_V5_M_119_without_inflamation_1	p_208_V7_M_357_without_inflamation_3	p_208_V9_M_613_inflamation_5	p_214_V6_M_231_without_inflamation_2	p_214_V7_M_358_without_inflamation_3	p_214_V8_M_484_inflamation_4	p_215_V10_M_717_without_inflamation_3	p_215_V6_M_248_without_inflamation_1	p_215_V7_M_371_without_inflamation_2	p_218_V6_M_238_without_inflamation_2	p_500_V5_M_120_without_inflamation_1	p_500_V6_M_260_without_inflamation_2	p_500_V7_M_365_without_inflamation_3	p_502_V5_M_120_without_inflamation_1	p_502_V6_M_234_without_inflamation_2
M00025	0	0	0	0	0	0	0	0	0	2	1	1	0	1	0	1	0	0	0	0	1	1	1	0	1	1	2	0	2	1	0	0	1	1	0	4	3	3	3	1	1	1	1	0	1	2	2	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	1	1	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	2	0	1	0	0	0	0	0	1	0	0	1	0	2	0	2	0	1	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	1	1	1	1	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	4	0	1	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	2	1	1	0	1	1	4	0	8	3	1	1	1	3	0	1	0	1	1	1	4	4	2	1	1	1	2	0	1	1	0	0	1	1	2	3	1	1	1	1	1	1	3	1	3	1	0	1	2	3	1	2	0	1	2	1	2	5	0
M00026	5	5	7	11	7	15	9	7	7	23	22	43	31	27	60	47	46	37	33	33	26	38	43	29	33	6	2	7	35	27	23	25	12	21	29	8	12	9	5	29	43	24	32	20	7	39	24	15	21	18	33	31	24	19	10	21	15	19	22	20	20	29	23	23	21	31	29	9	27	19	14	28	12	20	23	15	25	17	13	25	12	23	30	12	5	16	24	30	17	16	26	19	26	28	32	31	25	21	16	26	15	20	22	22	26	24	27	17	16	24	20	11	21	24	29	13	17	31	18	24	20	17	22	26	20	27	22	16	25	29	27	16	3	27	22	17	24	11	26	27	24	26	24	24	21	16	24	21	23	19	29	19	40	14	29	17	13	45	32	19	14	35	46	28	38	33	31	34	26	5	31	34	19	6	14	24	15	27	16	14	25	26	17	11	23	23	18	18	14	15	24	27	24	24	25	32	25	4	26	21	29	23	27	19	4	21	26	17	6	26	29	12	36	23	4	28	12	23	23	25	26	24	24	21	32	11	31	16	31	25	23	29	5	16	3	27	17	26	8	23	18	9	12	10	15	12	26	5	12	27	7	25	19	29	24	19	7	11	24	27	17	20	20	9	4	26	12	24	24	24	10	22	15	8	25	23	21	12	25	11	5	6	23	17	17	25	21	3	24	21	31	20	9	19	20	25	29	15	16	15	26	23	6	29	26	16	17	28	9	8	20	20	32	28	7	28	26	36	7	9	25	6	33	19	23	20	16	26	26	29	17	9	25	3	24	14	32	20	14	11	29	23	23	17	10	6	28	22	32	37	15	24	13	13	20	13	12	18	16	14	22	9	10	14	11	8	10	18	7	12	21	13	12	17	10	7	9	13	7	9	17	13	12	13	10	3	7	12	12	15	8	12	12	20	9	4	16	11	8	21	12	14	7	16	16	18	18	17
M00027	0	0	0	0	0	0	0	0	0	1	2	1	0	0	1	0	0	0	1	1	1	0	1	1	0	2	0	0	0	0	0	0	2	5	0	4	6	1	2	0	1	0	0	0	2	3	2	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	3	1	0	0	1	1	0	0	2	2	1	0	1	3	1	1	0	0	0	0	0	0	4	0	0	2	1	0	1	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	2	1	0	1	0	3	0	1	0	1	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	4	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	1	2	1	2	0	1	1	2	0	5	1	2	0	1	2	1	2	1	1	2	1	4	3	2	2	1	0	2	0	0	2	0	0	2	2	2	4	1	1	1	1	1	1	3	1	3	2	0	2	1	3	2	4	0	2	0	2	3	2	0
M00028	4	9	4	9	0	12	10	3	7	30	31	52	44	43	75	65	62	51	45	51	36	47	48	47	43	9	3	7	49	32	23	40	21	30	49	10	13	11	7	45	59	27	45	25	10	40	29	16	28	26	44	46	40	27	13	29	18	29	33	31	34	40	36	39	42	41	39	13	37	30	23	37	22	26	34	26	43	21	21	34	16	32	43	16	9	23	45	39	31	20	30	26	28	32	46	34	31	30	24	37	25	17	34	27	38	35	42	20	26	34	34	17	31	38	41	19	32	41	30	31	31	33	32	39	31	43	27	17	38	43	35	18	3	41	28	29	26	13	39	37	26	36	28	29	23	23	22	14	25	18	23	24	36	16	47	22	16	50	40	24	16	36	52	30	45	40	34	40	22	7	35	40	26	3	18	33	16	28	18	12	29	30	16	16	22	20	22	18	19	17	24	38	33	33	24	38	30	6	28	27	31	23	25	20	3	28	34	21	6	31	38	11	43	33	3	35	12	30	32	24	24	24	29	27	31	11	37	24	37	30	31	30	6	20	4	36	29	29	4	32	24	15	11	10	12	12	34	6	12	31	9	28	30	32	28	23	4	6	28	30	19	27	27	12	3	34	9	28	27	33	9	22	14	8	25	31	19	20	31	14	7	6	22	20	18	29	27	4	35	25	32	20	10	19	24	34	33	22	19	19	34	31	6	34	30	14	18	26	5	8	20	26	41	33	7	34	27	43	5	9	31	6	45	20	21	26	12	37	28	31	22	9	29	4	31	19	41	31	14	13	33	30	25	20	11	6	33	26	37	53	15	33	19	20	28	17	14	25	22	19	32	15	14	18	12	10	13	21	10	15	24	19	17	21	13	8	10	14	7	14	23	11	19	15	12	3	8	16	15	19	10	16	17	23	15	6	20	15	12	28	23	19	14	20	20	22	21	25
M00034	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	1	1	0
M00035	0	0	0	0	0	0	0	0	0	4	2	0	3	0	3	1	1	1	1	2	0	1	3	1	1	0	1	0	1	0	3	0	0	0	0	2	2	1	1	1	0	2	1	3	1	0	0	1	1	2	2	2	3	1	1	0	1	1	4	1	1	0	0	1	0	3	2	1	1	0	2	2	0	1	2	1	3	1	0	1	3	2	3	0	1	3	3	1	0	2	2	1	2	1	2	2	0	0	3	1	1	1	0	2	3	3	1	1	2	1	0	1	1	2	2	1	1	0	1	3	3	0	1	2	1	2	0	2	0	1	3	0	1	1	2	0	2	1	2	3	1	0	1	3	0	0	1	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	3	1	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	3	2	0	2	1	1	1	1	0	3	2	2	2	1	1	1	2	2	1	1	0	1	1	2	1	0	1	0	1	0	1	0	1	2	2	1	1	0	0	1	2	2	0	1	2	3	0	0	1	1	1	2	4	2	0	0	0	1	1	0
M00036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00045	5	3	7	7	8	8	3	6	4	10	8	12	10	13	14	10	16	15	8	14	13	8	13	10	11	1	1	4	7	11	7	12	2	10	12	5	7	4	2	12	14	5	7	3	1	13	14	5	6	3	6	4	1	1	0	8	9	1	2	0	2	2	5	4	6	1	7	3	3	3	0	0	3	9	4	2	1	0	5	0	2	1	4	1	0	0	4	8	7	1	0	7	8	12	6	15	9	10	1	14	6	8	10	3	10	2	1	0	1	5	8	4	8	2	1	2	9	16	2	2	5	9	6	6	12	7	8	7	12	7	2	3	1	11	4	5	7	6	5	6	10	9	8	9	4	4	10	5	8	9	13	6	21	11	19	11	11	20	18	10	7	15	23	12	20	15	15	18	16	3	18	19	16	9	4	10	11	10	6	3	7	13	8	5	7	6	5	3	9	9	6	8	4	7	11	11	6	1	10	9	7	8	9	8	3	7	4	8	2	11	8	3	10	11	0	9	1	13	12	10	8	6	8	7	8	9	14	6	10	10	8	11	2	3	2	7	11	10	1	6	6	1	4	1	4	2	9	1	4	14	2	10	8	3	7	2	2	3	11	7	8	12	8	3	1	7	2	9	7	4	2	8	4	2	5	14	9	4	12	3	3	2	14	8	7	13	12	1	7	8	9	10	2	12	5	12	8	6	6	5	15	10	3	11	12	5	6	6	2	5	5	11	7	8	3	12	7	13	2	1	10	1	13	10	11	7	3	8	13	10	5	4	5	0	8	11	11	9	8	9	11	13	12	3	2	3	9	7	6	8	6	4	3	5	3	2	3	11	2	2	4	2	6	4	1	1	1	2	5	7	7	5	3	6	2	0	2	3	4	6	7	3	4	6	5	0	2	4	3	3	3	4	6	4	4	2	3	3	4	10	4	5	5	10	9	11	6	6
M00046	0	0	1	0	0	0	0	0	1	1	1	1	1	2	1	3	1	2	1	1	2	1	3	0	1	1	0	0	1	0	1	1	1	2	1	2	3	2	1	2	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	3	1	1	1	1	1	1	2	2	1	1	1	1	1	0	3	2	2	1	1	0	1	1	1	2	3	1	2	1	1	2	1	1	1	1	1	2	1	0	2	1	1	1	2	1	1	3	1	2	1	2	1	1	0	1	1	1	1	1	2	1	1	1	3	1	0	0	1	2	1	0	1	1	1	2	1	2	2	2	2	1	3	0	2	2	1	2	2	2	3	2	0	1	4	3	0	0	1	1	3	0	1	0	1	0	1	0	3	1	0	0	0	1	1	1	1	1	2	1	1	1	1	1	1	1	1	0	1	1	2	0	2	2	1	1	1	0	0	2	2	0	1	1	1	1	1	2	0	2	1	1	0	3	1	1	1	0	1	2	1	0	1	1	1	0	0	0	2	1	0	0	2	0	1	1	3	3	1	0	1	2	1	1	1	3	0	0	2	0	2	0	1	1	0	1	1	2	1	0	1	1	1	0	0	1	1	1	3	2	0	1	2	2	1	0	0	1	3	1	3	0	1	2	3	0	1	1	0	1	1	0	0	0	1	2	1	0	3	2	3	0	0	2	0	3	2	0	0	0	1	3	2	1	1	0	0	1	2	1	3	0	0	1	1	2	1	0	1	1	2	2	2	2	1	1	1	2	1	0	4	3	2	2	2	1	1	2	1	3	3	1	3	3	1	2	2	2	2	2	1	0	1	2	2	2	1	2	1	1	1	2	2	1	0	1	2	2	0	1	2	1	1	2	1	0	1	1	2	2	1
M00048	8	8	9	16	10	20	12	9	10	32	35	54	43	43	86	76	64	60	49	48	35	48	58	47	50	12	3	12	50	37	31	43	20	34	43	14	15	10	9	41	61	29	44	31	13	45	33	19	31	25	42	48	37	24	12	35	21	30	32	30	32	42	33	40	41	43	40	15	39	32	20	39	21	24	35	26	39	19	22	33	17	31	40	17	8	23	38	41	30	18	28	30	25	38	43	40	36	31	21	39	24	27	35	30	32	33	44	22	31	34	31	18	33	34	41	21	30	44	27	31	27	32	34	35	35	42	33	19	44	54	37	21	4	41	32	24	31	18	31	40	32	42	33	32	25	26	32	20	29	27	42	27	50	19	42	28	22	53	43	25	21	42	56	41	53	43	42	50	32	9	42	47	33	9	21	35	20	36	23	18	33	30	25	17	30	32	23	23	26	22	32	32	32	39	29	46	33	6	35	30	39	33	33	31	4	33	35	32	10	39	42	21	44	34	5	36	12	39	39	33	36	26	33	34	38	18	44	26	50	27	33	39	8	28	12	32	42	32	8	29	26	14	13	15	18	14	39	6	10	36	8	32	30	36	28	30	7	13	33	32	24	35	33	17	6	38	10	33	30	24	15	30	18	8	33	39	27	20	36	13	9	9	40	20	22	37	32	6	38	31	35	28	14	26	29	44	35	25	21	24	47	37	10	44	35	18	22	36	11	8	27	31	41	31	8	39	38	49	6	10	36	7	51	28	33	28	20	35	37	38	27	13	37	7	31	28	46	33	24	30	40	36	29	29	19	15	33	28	37	58	19	35	22	16	30	19	16	27	19	26	30	17	17	24	13	11	18	25	10	20	27	18	20	27	16	12	20	18	10	14	28	14	19	21	15	6	8	14	16	21	12	16	23	25	16	7	22	13	11	29	24	18	23	23	26	30	25	23
